Date	Open	High	Low	Close 	Adj Close 	Volume
Sep 22, 2026	1,247.60	1,251.90	1,237.40	1,240.40	1,240.40	10,684,376
Sep 21, 2026	1,234.10	1,249.10	1,232.50	1,247.40	1,247.40	10,007,218
Sep 18, 2026	1,245.00	1,247.30	1,226.40	1,226.40	1,226.40	15,122,715
Sep 17, 2026	1,244.80	1,253.40	1,238.50	1,243.90	1,243.90	7,752,895
Sep 16, 2026	1,243.00	1,255.00	1,240.00	1,240.00	1,240.00	10,023,997
Sep 15, 2026	1,252.50	1,259.40	1,235.30	1,235.30	1,235.30	13,754,376
Sep 14, 2026	1,257.50	1,257.50	1,257.50	1,257.50	1,257.50	-
Sep 11, 2026	1,267.00	1,267.40	1,253.00	1,257.50	1,257.50	8,777,736
Sep 10, 2026	1,278.50	1,285.30	1,266.30	1,274.00	1,274.00	9,296,079
Sep 9, 2026	1,283.50	1,294.70	1,277.20	1,279.00	1,279.00	12,152,819
Sep 8, 2026	1,304.10	1,306.80	1,288.00	1,294.90	1,294.90	9,799,528
Sep 7, 2026	1,323.10	1,324.20	1,301.90	1,309.50	1,309.50	10,210,522
Sep 4, 2026	1,304.10	1,333.00	1,304.10	1,322.00	1,322.00	13,031,534
Sep 3, 2026	1,313.10	1,316.80	1,302.50	1,302.50	1,302.50	9,721,454
Sep 2, 2026	1,298.00	1,321.90	1,293.10	1,313.10	1,313.10	13,497,841
Sep 1, 2026	1,285.00	1,311.80	1,280.00	1,309.00	1,309.00	12,617,528
Aug 31, 2026	1,278.70	1,297.60	1,271.00	1,277.00	1,277.00	34,871,137
Aug 28, 2026	1,284.90	1,291.80	1,280.00	1,287.00	1,287.00	6,830,228
Aug 27, 2026	1,305.00	1,308.40	1,282.20	1,282.20	1,282.20	11,271,497
Aug 26, 2026	1,310.00	1,315.60	1,298.00	1,298.00	1,298.00	5,744,474
Aug 25, 2026	1,304.30	1,317.10	1,300.00	1,317.00	1,317.00	7,115,355
Aug 24, 2026	1,316.60	1,320.00	1,302.40	1,309.80	1,309.80	7,277,167
Aug 21, 2026	1,314.00	1,316.00	1,308.00	1,316.00	1,316.00	5,434,871
Aug 20, 2026	1,315.50	1,316.50	1,307.00	1,313.20	1,313.20	5,546,227
Aug 19, 2026	1,320.30	1,321.60	1,303.50	1,311.00	1,311.00	7,489,365
Aug 18, 2026	1,314.00	1,328.60	1,311.20	1,322.00	1,322.00	10,180,567
Aug 17, 2026	1,314.00	1,320.80	1,298.10	1,316.00	1,316.00	13,383,867
Aug 14, 2026	1,317.00	1,317.50	1,301.50	1,310.00	1,310.00	10,497,358
Aug 13, 2026	1,327.80	1,327.80	1,307.20	1,317.00	1,317.00	9,397,301
Aug 12, 2026	1,323.90	1,329.00	1,309.20	1,329.00	1,329.00	7,901,012
Aug 11, 2026	1,326.60	1,328.70	1,314.10	1,323.90	1,323.90	9,953,124
Aug 10, 2026	1,330.10	1,332.90	1,321.30	1,327.30	1,327.30	8,207,102
Aug 7, 2026	1,320.00	1,337.00	1,316.60	1,334.80	1,334.80	9,885,638
Aug 6, 2026	1,285.00	1,325.20	1,281.20	1,325.00	1,325.00	20,342,297
Aug 5, 2026	1,293.00	1,299.00	1,270.10	1,280.00	1,280.00	24,820,782
Aug 4, 2026	1,315.00	1,315.00	1,286.40	1,290.90	1,290.90	10,759,546
Aug 3, 2026	1,315.20	1,319.00	1,306.00	1,319.00	1,319.00	7,508,023
Jul 31, 2026	1,295.00	1,309.70	1,293.60	1,307.80	1,307.80	8,624,996
Jul 30, 2026	1,279.80	1,297.00	1,275.30	1,292.90	1,292.90	12,158,451
Jul 29, 2026	1,275.00	1,282.40	1,268.70	1,275.90	1,275.90	9,448,307
Jul 28, 2026	1,275.00	1,279.20	1,265.90	1,267.70	1,267.70	9,312,184
Jul 27, 2026	1,288.20	1,288.70	1,278.00	1,280.00	1,280.00	7,163,132
Jul 24, 2026	1,265.00	1,283.40	1,249.80	1,278.00	1,278.00	9,817,000
Jul 23, 2026	1,283.00	1,287.30	1,268.00	1,272.20	1,272.20	12,580,741
Jul 22, 2026	1,302.00	1,304.60	1,280.70	1,288.60	1,288.60	10,840,383
Jul 21, 2026	1,321.00	1,326.90	1,302.70	1,303.70	1,303.70	12,753,410
Jul 20, 2026	1,317.20	1,345.90	1,314.90	1,323.10	1,323.10	14,305,844
Jul 17, 2026	1,300.00	1,330.30	1,296.10	1,327.20	1,327.20	18,302,218
Jul 16, 2026	1,295.50	1,309.40	1,291.80	1,296.60	1,296.60	15,631,046
Jul 15, 2026	1,294.10	1,310.90	1,294.10	1,295.50	1,295.50	9,577,965
Jul 14, 2026	1,290.00	1,308.00	1,286.90	1,293.00	1,293.00	13,511,284
Jul 13, 2026	1,300.00	1,306.40	1,295.00	1,296.90	1,296.90	9,488,352
Jul 10, 2026	1,291.90	1,311.10	1,287.80	1,307.80	1,307.80	8,412,537
Jul 9, 2026	1,277.10	1,296.50	1,274.20	1,279.80	1,279.80	14,651,963
Jul 8, 2026	1,297.00	1,302.30	1,271.60	1,275.90	1,275.90	19,960,868
Jul 7, 2026	1,323.50	1,328.00	1,304.10	1,308.40	1,308.40	14,335,554
Jul 6, 2026	1,304.00	1,325.60	1,299.40	1,321.30	1,321.30	7,610,709
Jul 3, 2026	1,312.00	1,312.00	1,302.00	1,304.00	1,304.00	7,839,550
Jul 2, 2026	1,310.00	1,313.20	1,299.00	1,303.50	1,303.50	17,795,024
Jul 1, 2026	1,298.90	1,312.20	1,296.50	1,308.00	1,308.00	7,001,401
Jun 30, 2026	1,306.90	1,306.90	1,290.00	1,293.90	1,293.90	15,695,263
Jun 29, 2026	1,308.00	1,313.70	1,292.60	1,301.00	1,301.00	13,757,656
Jun 26, 2026	1,318.10	1,318.10	1,318.10	1,318.10	1,318.10	-
Jun 25, 2026	1,318.00	1,328.00	1,314.60	1,318.10	1,318.10	12,694,362
Jun 24, 2026	1,305.70	1,322.00	1,297.50	1,313.60	1,313.60	11,030,917
Jun 23, 2026	1,328.90	1,333.00	1,304.00	1,309.50	1,309.50	15,400,184
Jun 22, 2026	1,316.70	1,344.90	1,314.10	1,326.50	1,326.50	12,931,213
Jun 19, 2026	1,328.00	1,338.20	1,305.30	1,309.50	1,309.50	24,887,034
Jun 18, 2026	1,330.00	1,333.90	1,322.00	1,328.10	1,328.10	15,494,549
Jun 17, 2026	1,333.00	1,334.00	1,317.00	1,332.70	1,332.70	10,029,170
Jun 16, 2026	1,313.40	1,333.40	1,306.40	1,328.80	1,328.80	18,513,223
Jun 15, 2026	1,315.30	1,325.00	1,303.30	1,307.00	1,307.00	18,633,321
Jun 12, 2026	1,277.00	1,297.00	1,262.50	1,293.00	1,293.00	11,988,785
Jun 11, 2026	1,258.00	1,276.00	1,253.20	1,263.00	1,263.00	13,117,486
Jun 10, 2026	1,275.00	1,300.50	1,254.40	1,258.80	1,258.80	21,012,796
Jun 9, 2026	1,269.00	1,274.20	1,257.50	1,269.20	1,269.20	23,620,214
Jun 8, 2026	1,277.00	1,282.60	1,259.20	1,263.30	1,263.30	16,494,759
Jun 5, 2026	6 Dividend 
Jun 5, 2026	1,304.50	1,306.00	1,288.00	1,291.00	1,291.00	17,785,223
Jun 4, 2026	1,301.00	1,311.20	1,293.10	1,303.70	1,297.70	23,474,327
Jun 3, 2026	1,315.00	1,324.00	1,301.00	1,313.20	1,307.16	20,012,293
Jun 2, 2026	1,307.70	1,327.80	1,300.30	1,314.60	1,308.55	23,302,785
Jun 1, 2026	1,332.50	1,335.50	1,318.50	1,320.00	1,313.92	10,700,603
May 29, 2026	1,364.00	1,369.00	1,317.00	1,321.20	1,315.12	42,634,247
May 28, 2026	1,350.50	1,350.50	1,350.50	1,350.50	1,344.28	-
May 27, 2026	1,353.00	1,361.00	1,348.60	1,350.50	1,344.28	13,215,138
May 26, 2026	1,360.10	1,368.50	1,352.40	1,356.30	1,350.06	13,769,747
May 25, 2026	1,366.80	1,371.10	1,357.00	1,367.00	1,360.71	6,750,071
May 22, 2026	1,350.00	1,367.40	1,349.10	1,354.50	1,348.27	7,105,813
May 21, 2026	1,367.20	1,370.90	1,345.20	1,349.60	1,343.39	17,150,630
May 20, 2026	1,318.70	1,362.90	1,312.60	1,359.70	1,353.44	13,248,515
May 19, 2026	1,338.70	1,344.00	1,318.40	1,322.70	1,316.61	21,665,501
May 18, 2026	1,334.00	1,342.00	1,318.70	1,335.90	1,329.75	13,022,473
May 15, 2026	1,356.80	1,364.80	1,329.20	1,336.40	1,330.25	19,976,192
May 14, 2026	1,365.20	1,378.00	1,358.40	1,361.80	1,355.53	17,303,059
May 13, 2026	1,361.40	1,372.40	1,352.40	1,358.80	1,352.55	13,797,989
May 12, 2026	1,392.00	1,393.50	1,360.30	1,364.00	1,357.72	24,357,500
May 11, 2026	1,420.00	1,428.00	1,382.00	1,388.20	1,381.81	15,261,787
May 8, 2026	1,426.00	1,442.80	1,417.50	1,435.20	1,428.59	8,663,105
May 7, 2026	1,438.80	1,449.50	1,430.30	1,436.20	1,429.59	19,816,903
May 6, 2026	1,463.00	1,473.30	1,427.50	1,437.90	1,431.28	14,221,786
May 5, 2026	1,460.00	1,473.40	1,450.00	1,463.60	1,456.86	23,543,341
May 4, 2026	1,433.40	1,467.40	1,433.40	1,463.10	1,456.37	24,035,700
May 1, 2026	1,430.80	1,430.80	1,430.80	1,430.80	1,424.22	-
Apr 30, 2026	1,409.00	1,437.00	1,393.10	1,430.80	1,424.22	30,957,881
Apr 29, 2026	1,392.00	1,433.80	1,391.30	1,425.40	1,418.84	30,542,143
Apr 28, 2026	1,358.00	1,395.20	1,357.00	1,388.90	1,382.51	41,027,699
Apr 27, 2026	1,313.00	1,371.60	1,311.00	1,365.80	1,359.51	24,673,098
Apr 24, 2026	1,340.00	1,345.90	1,325.00	1,327.80	1,321.69	11,744,802
Apr 23, 2026	1,346.00	1,355.50	1,340.70	1,343.40	1,337.22	16,385,079
Apr 22, 2026	1,350.30	1,366.00	1,349.10	1,362.10	1,355.83	9,525,953
Apr 21, 2026	1,359.00	1,369.80	1,350.10	1,353.30	1,347.07	27,293,629
Apr 20, 2026	1,363.20	1,373.00	1,352.80	1,363.30	1,357.03	13,614,733
Apr 17, 2026	1,340.00	1,368.40	1,340.00	1,365.00	1,358.72	13,869,105
Apr 16, 2026	1,352.00	1,353.80	1,330.00	1,343.30	1,337.12	30,211,012
Apr 15, 2026	1,337.00	1,347.00	1,334.20	1,344.10	1,337.91	15,313,779
Apr 13, 2026	1,321.20	1,327.60	1,310.00	1,315.10	1,309.05	28,753,269
Apr 10, 2026	1,337.00	1,352.30	1,331.50	1,350.20	1,343.99	19,364,461
Apr 9, 2026	1,346.00	1,350.00	1,326.30	1,330.00	1,323.88	20,725,390
Apr 8, 2026	1,349.00	1,350.60	1,326.20	1,347.80	1,341.60	21,817,543
Apr 7, 2026	1,295.00	1,308.30	1,291.00	1,304.60	1,298.60	28,388,922
Apr 6, 2026	1,359.00	1,359.00	1,290.00	1,304.70	1,298.70	29,274,881
Apr 2, 2026	1,357.00	1,358.20	1,328.00	1,350.50	1,344.28	21,280,051
Apr 1, 2026	1,384.20	1,384.40	1,362.90	1,369.20	1,362.90	14,404,619
Mar 30, 2026	1,335.00	1,365.00	1,334.10	1,343.90	1,337.71	24,393,861
Mar 27, 2026	1,401.00	1,404.70	1,345.00	1,348.10	1,341.90	23,266,517
Mar 25, 2026	1,420.00	1,430.50	1,408.40	1,413.10	1,406.60	19,041,331
Mar 24, 2026	1,420.00	1,422.40	1,406.60	1,411.80	1,405.30	18,620,893
Mar 23, 2026	1,400.00	1,415.60	1,391.00	1,407.80	1,401.32	18,979,554
Mar 20, 2026	1,398.00	1,430.00	1,396.10	1,414.40	1,407.89	22,994,918
Mar 19, 2026	1,388.00	1,415.70	1,376.10	1,384.80	1,378.43	16,498,373
Mar 18, 2026	1,397.20	1,412.90	1,397.20	1,408.10	1,401.62	9,559,327
Mar 17, 2026	1,399.00	1,405.90	1,388.20	1,397.60	1,391.17	19,007,744
Mar 16, 2026	1,380.00	1,397.30	1,363.50	1,395.10	1,388.68	22,837,802
